Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,N/A,16,8672,51.9215
1,GBFS,h1,0,3660,15.1125
1,GBFS,h2,0,3660,15.1895
1,GBFS,h3,0,3660,15.5707
1,GBFS,h4,0,21169,210.7298
1,GBFS,h5,0,3660,14.8399
1,Algorithm A,h1,16,6221,33.5246
1,Algorithm A,h2,16,6221,33.1479
1,Algorithm A,h3,0,17069,173.8597
1,Algorithm A,h4,20,12462,98.65
1,Algorithm A,h5,0,17021,1982.5425
2,UCS,N/A,9,256,0.5758
2,GBFS,h1,0,381,0.8599
2,GBFS,h2,0,381,0.8602
2,GBFS,h3,0,381,0.8552
2,GBFS,h4,17,144,0.3052
2,GBFS,h5,0,381,0.8595
2,Algorithm A,h1,9,200,0.4669
2,Algorithm A,h2,9,200,0.4686
2,Algorithm A,h3,0,381,0.8764
2,Algorithm A,h4,11,324,0.7576
2,Algorithm A,h5,0,381,0.8829
3,UCS,N/A,6,762,2.384
3,GBFS,h1,6,20,0.0498
3,GBFS,h2,6,20,0.0503
3,GBFS,h3,6,20,0.0494
3,GBFS,h4,12,636,1.9329
3,GBFS,h5,6,20,0.0498
3,Algorithm A,h1,6,304,0.9124
3,Algorithm A,h2,6,304,0.9171
3,Algorithm A,h3,6,27,0.0677
3,Algorithm A,h4,9,1455,5.675
3,Algorithm A,h5,6,87,0.2392
4,UCS,N/A,9,400,1.0028
4,GBFS,h1,0,560,1.4286
4,GBFS,h2,0,560,1.4271
4,GBFS,h3,0,560,1.476
4,GBFS,h4,0,614,1.6322
4,GBFS,h5,0,560,1.4339
4,Algorithm A,h1,9,399,1.0465
4,Algorithm A,h2,9,399,1.0665
4,Algorithm A,h3,0,560,1.4497
4,Algorithm A,h4,9,416,1.0945
4,Algorithm A,h5,0,560,1.4522
5,UCS,N/A,9,1667,6.392
5,GBFS,h1,0,1588,5.7292
5,GBFS,h2,0,1588,5.7528
5,GBFS,h3,0,1588,5.7471
5,GBFS,h4,23,1414,938.3514
5,GBFS,h5,0,1588,5.713
5,Algorithm A,h1,9,881,3.08
5,Algorithm A,h2,9,881,3.049
5,Algorithm A,h3,15,870,3.0682
5,Algorithm A,h4,12,2036,8.05
5,Algorithm A,h5,11,499,1.5273
6,UCS,N/A,18,621,1.5041
6,GBFS,h1,0,1042,2.6274
6,GBFS,h2,0,1042,2.7
6,GBFS,h3,0,1042,2.6314
6,GBFS,h4,0,54,0.108
6,GBFS,h5,0,1042,2.6562
6,Algorithm A,h1,18,496,1.2061
6,Algorithm A,h2,18,496,1.2078
6,Algorithm A,h3,0,1042,2.7006
6,Algorithm A,h4,0,1349,3.4784
6,Algorithm A,h5,0,1042,2.7004
7,UCS,N/A,13,1827,6.236
7,GBFS,h1,0,1689,5.8453
7,GBFS,h2,0,1689,5.9303
7,GBFS,h3,0,1689,5.9473
7,GBFS,h4,0,3480,12.0009
7,GBFS,h5,0,1689,5.9852
7,Algorithm A,h1,13,643,1.8707
7,Algorithm A,h2,13,643,1.8659
7,Algorithm A,h3,0,1689,6.4127
7,Algorithm A,h4,16,2813,10.4637
7,Algorithm A,h5,0,1792,6.7946
8,UCS,N/A,18,11574,79.8944
8,GBFS,h1,0,14893,120.5056
8,GBFS,h2,0,14893,120.562
8,GBFS,h3,0,14893,120.3343
8,GBFS,h4,0,14965,124.5188
8,GBFS,h5,0,14893,122.2047
8,Algorithm A,h1,18,10321,81.9294
8,Algorithm A,h2,18,10321,89.3786
8,Algorithm A,h3,0,14893,1189.1227
8,Algorithm A,h4,20,13286,99.5214
8,Algorithm A,h5,0,14893,114.6046
9,UCS,N/A,7,185,0.3835
9,GBFS,h1,9,48,0.0914
9,GBFS,h2,9,48,0.0923
9,GBFS,h3,9,48,0.0915
9,GBFS,h4,0,376,0.8364
9,GBFS,h5,9,48,0.0918
9,Algorithm A,h1,7,128,0.2703
9,Algorithm A,h2,7,128,0.2696
9,Algorithm A,h3,7,58,0.1144
9,Algorithm A,h4,9,297,0.6607
9,Algorithm A,h5,7,72,0.1459
10,UCS,N/A,18,1613,4.4653
